a, an	一个；一
inform	通知；告诉
informal	非正式的；口语的
information	信息；资料
ingredient	原料；成分
initial	最初的；初始的
initially	最初；开始
initiative	主动性；倡议
injure	伤害；损害
injured	受伤的
injury	伤害；损伤
inner	内部的；内心的
innocent	无辜的；天真的
insect	昆虫
inside	里面；在内部
insight	洞察力；洞悉
insist	坚持；强调
inspire	激发；鼓舞
install	安装；设置
instance	例子；实例
instead	代替；反而
institute	学院；研究所
institution	机构；制度
instruction	指令；说明
instructor	教练；讲师
instrument	仪器；乐器
insurance	保险
intelligence	智力；情报
intelligent	聪明的；智能的
intend	打算；想要
intended	预期的；故意的
intense	强烈的；紧张的
intention	意图；目的
interest	兴趣；利益
interested	感兴趣的
interesting	有趣的；有意思的
internal	内部的；国内的
international	国际的
internet	互联网；因特网
interpret	解释；口译
interrupt	打断；中断
interview	面试；采访
into	到…里面；进入
introduce	介绍；引进
introduction	介绍；引言
invent	发明；创造
invention	发明；创造
invest	投资；投入
investigate	调查；研究
investigation	调查；研究
investment	投资；投入
invitation	邀请；请柬
invite	邀请
involve	涉及；包含
involved	涉及的；参与的
iron	铁；熨斗
island	岛；岛屿
issue	问题；发行
IT	信息技术
it	它
item	物品；项目
its	它的
itself	它自己
jacket	夹克；短上衣
jam	果酱；堵塞
January	一月
jazz	爵士乐
jeans	牛仔裤
jewellery	珠宝
job	工作；职业
join	加入；参加
joke	笑话；玩笑
journal	期刊；日志
journalist	记者
journey	旅行；旅程
joy	快乐；喜悦
judge	判断；法官
judgement	判断；判决
juice	果汁
July	七月
jump	跳；跳跃
June	六月
junior	初级的；年少的
just	只是；正好
justice	正义；公正
justify	证明…正当；辩护
keen	热衷的；渴望的
keep	保持；保留
key	钥匙；关键
keyboard	键盘
kick	踢；踹
kid	小孩；孩子
kill	杀死；弄死
killing	杀戮；致命的
kilometre	千米；公里
kind	种类；善良的
kind	种类；善良的
king	国王；大王
kiss	吻；亲吻
kitchen	厨房
knee	膝盖
knife	刀；刀子
knock	敲；撞击
know	知道；认识
knowledge	知识；学问
lab	实验室
label	标签；商标
laboratory	实验室
labour	劳动；劳动力
lack	缺乏；缺少
lady	女士；夫人
lake	湖；湖泊
lamp	灯；台灯
land	土地；登陆
landscape	风景；景色
language	语言
laptop	笔记本电脑
large	大的；大规模的
largely	主要地；大部分
last	最后的；持续
last	最后的；持续
late	晚的；迟的
later	后来；以后
latest	最新的；最近的
laugh	笑；大笑
laughter	笑声；笑
launch	发射；推出
law	法律；法规
lawyer	律师
lay	放置；下蛋
layer	层；层次
lazy	懒惰的
lead	领导；导致
leader	领导者；领袖
leadership	领导力；领导阶层
leading	主要的；领先的
leaf	叶子；树叶
league	联盟；社团
lean	倾斜；倚靠
learn	学习；学会
learning	学习；学问
least	最少；最小
leather	皮革；皮制品
leave	离开；留下
lecture	讲座；演讲
left	左边的；离开
leg	腿；腿部
legal	法律的；合法的
leisure	休闲；空闲
lemon	柠檬
lend	借给；借出
length	长度；时长
less	更少的；较少
lesson	课；教训
let	让；允许
letter	信；字母
level	水平；等级
library	图书馆
licence	执照；许可证
lie	躺；说谎
lie	躺；说谎
life	生命；生活
lifestyle	生活方式
lift	举起；电梯
light	光；轻的
light	光；轻的
like	喜欢；像
like	喜欢；像
likely	可能的；有希望的
limit	限制；限度
limited	有限的
line	线；排
link	连接；联系
lion	狮子
lip	嘴唇
liquid	液体；液态的
list	清单；列表
listen	听；倾听
listener	听众；听者
literature	文学；文献
little	小的；很少
live	居住；活的
live	居住；活的
lively	活泼的；生动的
living	活着的；生计
load	负载；装载
loan	贷款；借款
local	当地的；本地的
locate	定位；位于
located	位于；坐落于
location	位置；地点
lock	锁；锁住
logical	合乎逻辑的
lonely	孤独的；寂寞的
long	长的；长期的
long-term	长期的
look	看；看起来
loose	松的；宽松的
lord	领主；上帝
lorry	卡车；货车
lose	失去；输掉
loss	损失；丢失
lost	丢失的；迷路的
lot	许多；大量
loud	大声的；响亮的
loudly	大声地；响亮地
love	爱；热爱
lovely	可爱的；极好的
low	低的；矮的
lower	降低；下方的
luck	运气；好运
lucky	幸运的
lunch	午餐；午饭
lung	肺
luxury	奢侈；奢华
machine	机器；机械
mad	疯狂的；生气的
magazine	杂志
magic	魔法；魔术
mail	邮件；邮政
main	主要的；最重要的
mainly	主要地；大部分
maintain	维持；保持
major	主要的；专业
majority	大多数；多数
make	做；制作
male	男性的；雄性的
mall	购物中心；商场
man	男人；人
manage	管理；设法
management	管理；经营
manager	经理；管理者
manner	方式；举止
many	许多的；多
map	地图
March	三月
mark	标记；分数
market	市场；集市
marketing	营销；销售
marriage	婚姻；结婚
married	已婚的；结婚的
marry	结婚；嫁
mass	大量；群众
massive	巨大的；大量的
master	掌握；主人
match	比赛；匹配
matching	相配的；匹配的
material	材料；物质
mathematics	数学
maths	数学
matter	事情；要紧
maximum	最大的；最大值
May	五月
may	可能；可以
maybe	也许；大概
me	我
meal	一餐；一顿饭
mean	意思是；刻薄的
meaning	意思；含义
means	方法；手段
meanwhile	同时；其间
measure	测量；措施
measurement	测量；尺寸
meat	肉；肉类
media	媒体；媒介
medical	医学的；医疗的
medicine	药；医学
medium	中等的；媒介
meet	遇见；见面
meeting	会议；会面
melt	融化；熔化
member	成员；会员
memory	记忆；内存
mental	精神的；心理的
mention	提到；说起
menu	菜单
mess	混乱；脏乱
message	消息；信息
metal	金属
method	方法；办法
metre	米；公尺
middle	中间的；中部
midnight	午夜；半夜
might	可能；也许
mild	温和的；轻微的
mile	英里
military	军事的；军队的
milk	牛奶；奶
million	百万；无数
mind	头脑；介意
mine	我的；矿
mine	我的；矿
mineral	矿物；矿物质
minimum	最小的；最低限度
minister	部长；大臣
minor	次要的；未成年人
minority	少数；少数民族
minute	分钟；微小的
mirror	镜子
miss	错过；想念
missing	失踪的；缺少的
mission	使命；任务
mistake	错误；误会
mix	混合；调配
mixed	混合的；混杂的
mixture	混合；混合物
mobile	移动的；手机
model	模型；模特
modern	现代的；时髦的
modify	修改；更改
moment	时刻；瞬间
Monday	星期一
money	钱；金钱
monitor	监控；显示器
monkey	猴子
month	月；月份
mood	心情；情绪
moon	月亮；月球
moral	道德的；寓意
more	更多的；更
morning	早晨；上午
most	最多的；最
mostly	主要地；通常
mother	母亲；妈妈
motor	发动机；马达
motorcycle	摩托车
mount	登上；增加
mountain	山；山脉
mouse	老鼠；鼠标
mouth	嘴；口
move	移动；搬家
movement	运动；活动
movie	电影
much	许多；非常
mud	泥；泥浆
multiple	多个的；倍数
multiply	乘；繁殖
mum	妈妈
murder	谋杀；凶杀
muscle	肌肉；力量
museum	博物馆
music	音乐；乐曲
musical	音乐的；音乐剧
musician	音乐家
must	必须；一定
my	我的
myself	我自己
mysterious	神秘的；难以理解的
mystery	神秘；谜
nail	钉子；指甲
name	名字；名称
narrative	叙述的；故事
narrow	狭窄的；勉强的
nation	国家；民族
national	国家的；民族的
native	本地的；土生土长的
natural	自然的；天然的
naturally	自然地；当然
nature	自然；性质
near	近的；靠近
nearly	几乎；差不多
neat	整洁的；整齐的
necessarily	必然地；必定
necessary	必要的；必需的
neck	脖子；颈部
need	需要；必要
needle	针；指针
negative	消极的；负面的
neighbour	邻居
neighbourhood	街坊；社区
neither	两者都不
nerve	神经；勇气
nervous	紧张的；神经质的
net	网；净的
network	网络；网状物
never	从不；绝不
nevertheless	然而；尽管如此
new	新的；新鲜的
news	新闻；消息
newspaper	报纸
next	下一个；接下来
next to	紧挨着；旁边
nice	好的；美好的
night	夜晚；晚上
nightmare	噩梦；可怕的经历
nine	九
nineteen	十九
ninety	九十
no	不；没有
no one	没有人
nobody	没有人
noise	噪音；声响
noisy	嘈杂的；喧闹的
none	没有一个；毫无
nor	也不
normal	正常的；普通的
normally	通常；正常地
north	北方；北部
northern	北方的；北部的
nose	鼻子
not	不；没有
note	笔记；注意
nothing	没有什么；无关紧要的事
notice	注意；通知
notion	概念；观念
novel	小说；新奇的
November	十一月
now	现在；此刻
nowhere	无处；任何地方都不
nuclear	核能的；核心的
number	数字；号码
numerous	许多的；众多的
nurse	护士；护理
nut	坚果；螺母
obey	服从；遵守
object	物体；反对
objective	客观的；目标
obligation	义务；责任
observation	观察；观测
observe	观察；遵守
obtain	获得；得到
obvious	明显的；显而易见的
obviously	显然；明显地
occasion	场合；时机
occasionally	偶尔；间或
occur	发生；出现
ocean	海洋；大海
o'clock	…点钟
October	十月
odd	奇怪的；奇数的
of	的；属于
off	离开；脱落
offence	犯罪；冒犯
offend	冒犯；得罪
offensive	冒犯的；攻击性的
offer	提供；提议
office	办公室；办事处
officer	军官；官员
official	官方的；官员
often	经常；常常
oh	哦；啊
oil	油；石油
OK	好的；可以
old	老的；旧的
old-fashioned	老式的；过时的
on	在…上面；关于
once	一次；曾经
one	一；一个
onion	洋葱
online	在线的；联网的
only	只；仅仅
onto	到…之上
open	打开；开放的
opening	开口；开幕式
operate	操作；动手术
operation	操作；手术
opinion	意见；看法
opponent	对手；反对者
opportunity	机会；时机
oppose	反对；对抗
opposed	反对的；对立的
opposite	相反的；对面
opposition	反对；反对派
option	选择；选项
or	或者；还是
orange	橙色的；橙子
order	命令；顺序
ordinary	普通的；平常的
organ	器官；机构
organization	组织；机构
organize	组织；安排
organized	有组织的；有条理的
organizer	组织者；筹办者
origin	起源；出身
original	原始的；原创的
originally	最初；本来
other	其他的；另外的
otherwise	否则；要不然
ought	应该；应当
our	我们的
ours	我们的
ourselves	我们自己
out	在外；出来
outcome	结果；成果
outdoor	户外的；室外的
outdoors	在户外
outer	外部的；外面的
outline	轮廓；大纲
outside	外面；在外面
oven	烤箱；炉
over	在…上方；超过
overall	总体的；全部的
owe	欠；归功于
own	自己的；拥有
owner	所有者；主人
pace	步伐；速度
pack	包装；一群
package	包裹；包装
page	页；页面
pain	疼痛；痛苦
painful	痛苦的；疼痛的
paint	油漆；绘画
painter	画家；油漆工
painting	绘画；油画
pair	一对；一双
palace	宫殿；豪宅
pale	苍白的；暗淡的
pan	平底锅；盘子
panel	面板；专家组
pants	裤子；内裤
paper	纸；论文
paragraph	段落；节
parent	父亲；母亲
park	公园；停车
parking	停车；停车位
parliament	议会；国会
part	部分；角色
participant	参与者；参加者
participate	参与；参加
particular	特定的；特别的
particularly	特别；尤其
partly	部分地；在一定程度上
partner	伙伴；搭档
party	聚会；政党
pass	通过；传递
passage	段落；通道
passenger	乘客；旅客
passion	激情；热情
passport	护照
past	过去的；经过
path	小路；路径
patient	耐心的；病人
pattern	模式；图案
pay	支付；工资
payment	支付；付款
peace	和平；平静
peaceful	和平的；平静的
pen	钢笔；笔
pencil	铅笔
penny	便士；一分钱
pension	养老金；退休金
people	人们；人民
pepper	胡椒；辣椒
per	每；每一
per cent	百分之…
percentage	百分比；百分率
perfect	完美的；极好的
perfectly	完美地；完全地
perform	执行；表演
performance	表现；性能
perhaps	也许；大概
period	时期；周期
permanent	永久的；长期的
permission	允许；许可
permit	允许；许可证
person	人；个人
personal	个人的；私人的
personality	性格；个性
personally	就个人而言；亲自
perspective	观点；视角
persuade	说服；劝说
pet	宠物；宠儿
petrol	汽油
phase	阶段；时期
phenomenon	现象；奇迹
philosophy	哲学；人生观
phone	电话；打电话
photo	照片
photograph	照片；拍照
photographer	摄影师
photography	摄影；摄影术
phrase	短语；词组
physical	身体的；物理的
physics	物理；物理学
piano	钢琴
pick	挑选；采摘
picture	图片；照片
piece	片；块
pig	猪
pile	堆；堆积
pilot	飞行员；领航员
pin	别针；钉住
pink	粉色的；粉红色
pipe	管子；烟斗
pitch	球场；音调
place	地方；放置
plain	平原；朴素的
plan	计划；打算
plane	飞机；平面
planet	行星
planning	规划；计划
plant	植物；种植
plastic	塑料；塑料的
plate	盘子；碟子
platform	平台；站台
play	玩；演奏
player	运动员；玩家
pleasant	令人愉快的；舒适的
please	请；使高兴
pleased	高兴的；满意的
pleasure	快乐；荣幸
plenty	大量；充足
plot	情节；密谋
plus	加；加上
pocket	口袋；衣袋
poem	诗
poet	诗人
poetry	诗歌；诗集
point	点；要点
pointed	尖的；尖锐的
poison	毒药；毒害
poisonous	有毒的；有害的
police	警察；警方
policeman	警察
policy	政策；方针
polite	有礼貌的；客气的
political	政治的
politician	政治家；政客
politics	政治；政治学
pollution	污染
pool	水池；共用
poor	贫穷的；可怜的
pop	流行音乐；弹出
popular	流行的；受欢迎的
popularity	普及；流行
population	人口；种群
port	港口；端口
portrait	肖像；画像
pose	摆姿势；造成
position	位置；职位
positive	积极的；肯定的
possess	拥有；具有
possession	拥有；财产
possibility	可能性；可能
possible	可能的；合理的
possibly	可能；也许
post	邮政；邮寄
poster	海报；广告
pot	锅；罐
potato	土豆；马铃薯
potential	潜在的；潜力
pound	英镑；磅
pour	倒；倾泻
poverty	贫穷；贫困
powder	粉末；粉
power	力量；权力
powerful	强大的；有力的
practical	实际的；实用的
practice	练习；实践
practise	练习；实践
praise	赞扬；表扬
pray	祈祷；恳求
prayer	祈祷；祷告
predict	预测；预言
prediction	预测；预言
prefer	更喜欢；宁愿
pregnant	怀孕的
preparation	准备；筹备
prepare	准备；预备
prepared	准备好的
presence	存在；出席
present	现在的；礼物
presentation	展示；介绍
preserve	保护；保存
president	总统；校长
press	按；压
pressure	压力；压迫
pretend	假装；伪装
pretty	相当；漂亮的
prevent	阻止；预防
previous	以前的；先前的
previously	以前；先前
price	价格；代价
priest	牧师；神父
primary	主要的；初级的
prime	主要的；首要的
prince	王子；亲王
princess	公主；王妃
principle	原则；原理
print	打印；印刷
printer	打印机；印刷工
printing	印刷；打印
priority	优先；优先权
prison	监狱；监禁
prisoner	囚犯；犯人
privacy	隐私；私密
private	私人的；私有的
prize	奖品；奖赏
probably	大概；很可能
problem	问题；难题
procedure	程序；步骤
process	过程；流程
produce	生产；制造
producer	生产者；制片人
product	产品；产物
production	生产；产量
profession	职业；专业
professional	专业的；职业的
professor	教授
profile	简介；轮廓
profit	利润；收益
program	程序；节目
programme	节目；计划
progress	进步；进展
project	项目；工程
promise	承诺；答应
promote	促进；提升
pronounce	发音；宣布
proof	证明；证据
proper	适当的；正确的
properly	适当地；正确地
property	财产；性质
proposal	提议；建议
propose	提议；建议
prospect	前景；展望
protect	保护；防护
protection	保护；防护
protest	抗议；反对
proud	自豪的；骄傲的
prove	证明；证实
provide	提供；供给
psychologist	心理学家
psychology	心理学
pub	酒吧；酒馆
public	公众的；公共的
publication	出版；出版物
publish	出版；发表
pull	拉；拖
punish	惩罚；处罚
punishment	惩罚；处罚
pupil	学生；瞳孔
purchase	购买；采购
pure	纯的；纯粹的
purple	紫色的；紫色
purpose	目的；意图
pursue	追求；从事
push	推；推动
put	放；放置
qualification	资格；资质
qualified	合格的；有资格的
qualify	使合格；取得资格
quality	质量；品质
quantity	数量；分量
quarter	四分之一；一刻钟
queen	女王；王后
question	问题；疑问
queue	队列；排队
quick	快的；迅速的
quickly	快速地；很快
quiet	安静的；平静的
quietly	安静地；悄悄地
quit	放弃；退出
quite	相当；很
quotation	引用；报价
quote	引用；报价
race	比赛；种族
race	比赛；种族
racing	赛跑；竞赛
radio	收音机；广播
railway	铁路；铁道
rain	雨；下雨
raise	提高；举起
range	范围；一系列
rank	等级；排名
rapid	迅速的；快的
rapidly	迅速地；很快地
rare	稀有的；罕见的
rarely	很少；难得
rate	比率；速度
rather	相当；宁愿
raw	生的；原始的
reach	到达；够到
react	反应；回应
reaction	反应；回应
read	读；阅读
reader	读者；读物
reading	阅读；读书
ready	准备好的；现成的
real	真实的；实际的
realistic	现实的；务实的
reality	现实；实际
realize	意识到；实现
really	真的；非常
reason	原因；理由
reasonable	合理的；公道的
recall	回忆；回想
receipt	收据；收条
receive	收到；接收
recent	最近的；近来的
recently	最近；近来
reception	接待；招待会
recipe	食谱；配方
recognize	认出；承认
recommend	推荐；建议
recommendation	推荐；建议
record	记录；唱片
recording	录音；记录
recover	恢复；痊愈
recycle	回收利用；循环
red	红色的；红
reduce	减少；降低
reduction	减少；下降
refer	参考；涉及
reference	参考；参照
reflect	反映；反射
refuse	拒绝；回绝
regard	认为；看待
region	地区；区域
regional	地区的；区域的
register	注册；登记
regret	后悔；遗憾
regular	定期的；常规的
regularly	定期地；经常
regulation	规定；规章
reject	拒绝；排斥
relate	相关；联系
related	相关的；有关系的
relation	关系；联系
relationship	关系；关联
relative	相对的；亲戚
relatively	相对地；比较地
relax	放松；休息
relaxed	放松的；自在的
relaxing	令人放松的
release	释放；发布
relevant	相关的；切题的
reliable	可靠的；可信赖的
relief	减轻；安慰
religion	宗教；信仰
religious	宗教的；虔诚的
rely	依靠；依赖
remain	保持；剩余
remark	评论；注意到
remember	记得；想起
remind	提醒；使想起
remote	遥远的；远程的
remove	移除；去掉
rent	租金；租用
repair	修理；修补
repeat	重复；重说
repeated	重复的；反复的
replace	取代；替换
reply	回答；答复
report	报告；报道
reporter	记者
represent	代表；象征
representative	代表；典型的
reputation	名声；名誉
request	请求；要求
require	需要；要求
requirement	要求；必要条件
rescue	营救；救援
research	研究；调查
researcher	研究员
reservation	预订；保留
reserve	预订；保留
resident	居民；居住的
resist	抵抗；抗拒
resolve	解决；决心
resort	度假胜地；诉诸
resource	资源；财力
respect	尊重；方面
respond	回应；回答
response	回应；回答
responsibility	责任；职责
responsible	负责的；有责任的
rest	休息；剩余
rest	休息；剩余
restaurant	餐馆；饭店
result	结果；导致
retain	保持；保留
retire	退休；退役
retired	退休的
return	返回；归还
reveal	揭示；显示
review	复习；评论
revise	修订；复习
revolution	革命；变革
reward	奖励；报酬
rhythm	节奏；韵律
rice	大米；米饭
rich	富有的；丰富的
rid	摆脱；除去
ride	骑；乘坐
right	正确的；右边
ring	戒指；响铃
ring	戒指；响铃
rise	上升；增加
risk	风险；危险
river	河；河流
road	路；道路
robot	机器人
rock	岩石；摇滚乐
rock	岩石；摇滚乐
role	角色；作用
roll	滚动；卷
romantic	浪漫的；多情的
roof	屋顶；顶部
room	房间；空间
root	根；根源
rope	绳子；绳索
rough	粗糙的；大致的
round	圆的；围绕
route	路线；路径
routine	常规；例行公事
row	排；行
royal	皇家的；王室的
rub	擦；摩擦
rubber	橡胶；橡皮
rubbish	垃圾；废物
rude	粗鲁的；无礼的
rugby	橄榄球
rule	规则；统治
run	跑；运行
runner	跑步者；信使
running	跑步；运转
rural	农村的；乡村的
rush	冲；匆忙
sad	伤心的；难过的
sadly	伤心地；不幸地
safe	安全的；保险箱
safety	安全；保险
sail	航行；帆
sailing	航海；帆船运动
sailor	水手；海员
salad	沙拉
salary	薪水；工资
sale	销售；减价
salt	盐
same	相同的；一样的
sample	样品；样本
sand	沙子；沙地
sandwich	三明治
satellite	卫星
satisfied	满意的；满足的
satisfy	满足；使满意
Saturday	星期六
sauce	酱汁；调味汁
save	节省；拯救
saving	节省；存款
say	说；讲
scale	规模；比例
scan	扫描；浏览
scared	害怕的；恐惧的
scary	吓人的；可怕的
scene	场景；场面
schedule	时间表；安排
scheme	计划；方案
school	学校；学院
science	科学；理科
scientific	科学的
scientist	科学家
score	得分；分数
scream	尖叫；惊呼
screen	屏幕；银幕
script	剧本；脚本
sculpture	雕塑；雕像
sea	海；海洋
search	搜索；寻找
season	季节；赛季
seat	座位；席位
second	第二；秒
second	第二；秒
secondary	次要的；中等的
secondly	第二；其次
secret	秘密；机密
secretary	秘书；部长
section	部分；部门
sector	部门；行业
secure	安全的；获得
security	安全；保障
see	看见；理解
seed	种子；萌芽
seek	寻求；寻找
seem	似乎；好像
select	选择；挑选
selection	选择；挑选
self	自己；自我
sell	卖；销售
send	发送；寄
senior	高级的；年长的
sense	感觉；意义
sensible	明智的；通情达理的
sensitive	敏感的；灵敏的
sentence	句子；判决
separate	分开的；分离
September	九月
sequence	顺序；序列
series	系列；连续
serious	严肃的；严重的
seriously	严肃地；严重地
servant	仆人；雇员
serve	服务；招待
service	服务；服役
session	会议；一段时间
set	放置；一套
set	放置；一套
setting	环境；设置
settle	解决；定居
seven	七
seventeen	十七
seventy	七十
several	几个；若干
severe	严重的；严厉的
sex	性；性别
sexual	性的；性别的
shade	阴凉处；阴影
shadow	影子；阴影
shake	摇动；握手
shall	将要；应该
shallow	浅的；肤浅的
shame	羞耻；遗憾
shape	形状；塑造
share	分享；份额
sharp	锋利的；敏锐的
she	她
sheep	羊；绵羊
sheet	床单；薄片
shelf	架子；搁板
shell	壳；贝壳
shelter	庇护所；避难
shift	转移；轮班
shine	发光；照耀
shiny	闪亮的；有光泽的
ship	船；轮船
shirt	衬衫；衬衣
shock	震惊；冲击
shocked	震惊的；吃惊的
shoe	鞋；鞋子
shoot	射击；拍摄
shooting	射击；拍摄
shop	商店；购物
shopping	购物；买东西
short	短的；矮的
shot	射击；镜头
should	应该；将要
shoulder	肩膀；承担
shout	呼喊；大叫
show	展示；演出
shower	淋浴；阵雨
shut	关闭；关上
shy	害羞的；腼腆的
sick	生病的；恶心的
side	边；方面
sight	视力；景象
sign	标志；签名
signal	信号；暗号
significant	重要的；显著的
significantly	显著地；大大地
silence	沉默；寂静
silent	沉默的；安静的
silk	丝绸；丝
silly	愚蠢的；傻的
silver	银；银色
similar	相似的；类似的
similarity	相似性；相似点
similarly	类似地；同样地
simple	简单的；朴素的
simply	简单地；仅仅
since	自从；因为
sincere	真诚的；诚挚的
sing	唱；唱歌
singer	歌手；歌唱家
singing	唱歌；歌唱
single	单一的；单身的
sink	下沉；水槽
sir	先生；阁下
sister	姐妹
sit	坐；坐下
site	地点；网站
situation	情况；形势
six	六
sixteen	十六
sixty	六十
size	大小；尺寸
ski	滑雪；雪橇
skiing	滑雪运动
skill	技能；技巧
skin	皮肤；皮
skirt	裙子
sky	天空
slave	奴隶；苦工
sleep	睡觉；睡眠
slice	薄片；切片
slide	滑动；幻灯片
slight	轻微的；少量的
slightly	稍微；略微
slip	滑倒；溜走
slope	斜坡；倾斜
slow	慢的；缓慢的
slowly	慢慢地；缓慢地
small	小的；少的
smart	聪明的；时髦的
smartphone	智能手机
smell	闻；气味
smile	微笑；笑容
smoke	烟；吸烟
smoking	吸烟；抽烟
smooth	光滑的；平稳的
snake	蛇
snow	雪；下雪
so	如此；所以
soap	肥皂
soccer	足球
social	社会的；社交的
society	社会；社团
sock	短袜
soft	柔软的；柔和的
software	软件
soil	土壤；土地
solar	太阳的；太阳能的
soldier	士兵；军人
solid	固体的；结实的
solution	解决方案；溶液
solve	解决；解答
some	一些；某个
somebody	某人；有人
someone	某人；有人
something	某事；某物
sometimes	有时；偶尔
somewhat	有点；稍微
somewhere	在某处；到某处
son	儿子
song	歌曲；歌
soon	很快；不久
sorry	抱歉的；遗憾的
sort	种类；分类
soul	灵魂；心灵
sound	声音；听起来
soup	汤；羹
source	来源；出处
south	南方；南部
southern	南方的；南部的
space	空间；太空
speak	说；说话
speaker	演讲者；扬声器
special	特别的；专门的
specialist	专家；专科医生
species	物种；种类
specific	具体的；特定的
specifically	具体地；专门地
speech	演讲；讲话
speed	速度；加速
spell	拼写；咒语
spelling	拼写；拼法
spend	花费；度过
spending	花费；开支
spicy	辣的；辛辣的
spider	蜘蛛
spirit	精神；灵魂
spiritual	精神的；心灵的
split	分裂；分开
spoken	口头的；口语的
sponsor	赞助；赞助商
spoon	勺子；匙
sport	运动；体育
spot	地点；斑点
spread	传播；展开
spring	春天；弹簧
square	正方形；广场
stable	稳定的；马厩
stadium	体育场；体育馆
staff	员工；全体职员
stage	阶段；舞台
stair	楼梯；阶梯
stamp	邮票；印章
stand	站立；摊位
standard	标准；规格
star	星星；明星
stare	凝视；盯着看
start	开始；启动
state	状态；州
statement	声明；陈述
station	车站；站
statistic	统计数据
statue	雕像；塑像
status	地位；状态
stay	停留；保持
steady	稳定的；稳固的
steal	偷；窃取
steel	钢；钢铁
steep	陡峭的；急剧的
step	步；步骤
stick	棍子；粘贴
stick	棍子；粘贴
sticky	粘的；粘性的
stiff	僵硬的；生硬的
still	仍然；静止的
stock	库存；股票
stomach	胃；肚子
stone	石头；石块
stop	停止；车站
store	商店；储存
storm	暴风雨；风暴
story	故事；小说
straight	直的；直接地
strange	奇怪的；陌生的
stranger	陌生人；外地人
strategy	策略；战略
stream	小溪；流
street	街道；马路
strength	力量；优势
stress	压力；强调
stretch	伸展；延伸
strict	严格的；严厉的
strike	罢工；打击
string	线；弦
strong	强壮的；强烈的
strongly	强烈地；坚决地
structure	结构；构造
struggle	挣扎；斗争
student	学生
studio	工作室；演播室
study	学习；研究
stuff	东西；材料
stupid	愚蠢的；笨的
style	风格；方式
subject	主题；科目
submit	提交；服从
substance	物质；实质
succeed	成功；继承
success	成功；成就
successful	成功的；一帆风顺的
successfully	成功地；顺利地
such	这样的；如此的
sudden	突然的；意外的
suddenly	突然；忽然
suffer	遭受；忍受
sugar	糖
suggest	建议；暗示
suggestion	建议；提议
suit	适合；套装
suitable	合适的；适宜的
sum	总和；金额
summarize	总结；概括
summary	总结；摘要
summer	夏天；夏季
sun	太阳；阳光
Sunday	星期日
supermarket	超市
supply	供应；供给
support	支持；支撑
supporter	支持者；拥护者
suppose	假设；认为
sure	确信的；肯定的
surely	肯定地；想必
surface	表面；外观
surgery	外科手术；手术室
surprise	惊喜；惊讶
surprised	惊讶的；吃惊的
surprising	令人惊讶的；意外的
surround	围绕；包围
surrounding	周围的；环境
survey	调查；测量
survive	幸存；存活
suspect	怀疑；嫌疑人
swear	发誓；咒骂
sweater	毛衣；针织衫
sweep	打扫；席卷
sweet	甜的；糖果
swim	游泳；游
swimming	游泳；游泳运动
switch	开关；转换
symbol	象征；符号
sympathy	同情；同情心
symptom	症状；征兆
system	系统；体系
table	桌子；表格
tablet	药片；平板电脑
tail	尾巴；尾部
take	拿；取
tale	故事；传说
talent	天赋；才能
talented	有天赋的；有才能的
talk	谈话；说话
tall	高的；高大的
tank	坦克；油箱
tape	磁带；胶带
target	目标；靶子
task	任务；工作
taste	味道；品尝
tax	税；税款
taxi	出租车；的士
tea	茶；茶叶
teach	教；教授
teacher	老师；教师
teaching	教学；教导
team	队；团队
tear	眼泪；撕
tear	眼泪；撕
technical	技术的；专业的
technique	技术；技巧
technology	技术；科技
teenage	青少年的
teenager	青少年
telephone	电话；打电话
television	电视；电视机
tell	告诉；讲述
temperature	温度；气温
temporary	暂时的；临时的
ten	十
tend	倾向于；照料
tennis	网球
tent	帐篷
term	学期；术语
terrible	可怕的；糟糕的
test	测试；考试
text	文本；课文
than	比；超过
thank	感谢；谢谢
thanks	感谢；谢谢
that	那；那个
the	这；那
theatre	剧院；戏剧
their	他们的
theirs	他们的
them	他们；她们；它们
theme	主题；题目
themselves	他们自己
then	然后；那时
theory	理论；学说
therapy	治疗；疗法
there	那里；在那里
therefore	因此；所以
they	他们；她们；它们
thick	厚的；浓的
thief	小偷；贼
thin	瘦的；薄的
thing	事情；东西
think	想；认为
thinking	思考；想法
third	第三；三分之一
thirsty	渴的；渴望的
thirteen	十三
thirty	三十
this	这；这个
though	虽然；可是
thought	想法；思想
thousand	一千；数千
threat	威胁；恐吓
threaten	威胁；恐吓
three	三
throat	喉咙；嗓子
through	通过；穿过
throughout	遍及；贯穿
throw	扔；投掷
Thursday	星期四
thus	因此；从而
ticket	票；门票
tidy	整洁的；整理
tie	领带；系
tight	紧的；紧身的
till	直到；直到…为止
time	时间；次
tin	锡；罐头
tiny	微小的；极小的
tip	小费；提示
tired	疲倦的；厌烦的
title	标题；头衔
to	到；向
today	今天；现今
toe	脚趾；足尖
together	一起；共同
toilet	厕所；马桶
tomato	西红柿；番茄
tomorrow	明天；明日
tone	语气；音调
tongue	舌头；语言
tonight	今晚；今夜
too	也；太
tool	工具；器具
tooth	牙齿
top	顶部；最高的
topic	话题；主题
total	总的；全部的
totally	完全地；总共
touch	触摸；接触
tough	困难的；坚强的
tour	旅行；游览
tourism	旅游业；观光
tourist	游客；旅游者
towards	朝；向
